,Month,Price,Change
0,Sep 2022,3.31,-
1,Oct 2022,3.31,0.00%
2,Nov 2022,3.31,0.00%
3,Dec 2022,3.31,0.00%
4,Jan 2023,3.31,0.00%
5,Feb 2023,3.31,0.00%
6,Mar 2023,3.33,0.60%
