,Month,Price,Change
0,Sep 2022,708.00,-
1,Oct 2022,675.00,-4.66%
2,Nov 2022,625.00,-7.41%
3,Dec 2022,584.38,-6.50%
4,Jan 2023,569.38,-2.57%
5,Feb 2023,547.50,-3.84%
6,Mar 2023,537.50,-1.83%
