,Month,Price,Change
0,Sep 2022,321.48,-
1,Oct 2022,326.60,1.59%
2,Nov 2022,320.90,-1.75%
3,Dec 2022,215.00,-33.00%
4,Jan 2023,172.00,-20.00%
5,Feb 2023,144.67,-15.89%
6,Mar 2023,136.84,-5.41%
