,Month,Price,Change
0,Sep 2022,3.26,-
1,Oct 2022,4.16,27.82%
2,Nov 2022,3.82,-8.22%
3,Dec 2022,2.94,-23.14%
4,Jan 2023,3.09,5.04%
5,Feb 2023,2.65,-14.26%
6,Mar 2023,2.57,-2.80%
