,Month,Price,Change
0,Sep 2022,2.46,-
1,Oct 2022,2.27,-7.72%
2,Nov 2022,2.04,-10.13%
3,Dec 2022,2.05,0.49%
4,Jan 2023,2.12,3.41%
5,Feb 2023,2.29,8.02%
6,Mar 2023,2.35,2.62%
