,Month,Price,Change
0,Sep 2022,.77,-
1,Oct 2022,.76,-1.30%
2,Nov 2022,.79,3.95%
3,Dec 2022,.81,2.53%
4,Jan 2023,.80,-1.23%
5,Feb 2023,.81,1.25%
6,Mar 2023,.84,3.70%
