,Month,Price,Change
0,Sep 2022,1.62,-
1,Oct 2022,1.57,-3.09%
2,Nov 2022,1.65,5.10%
3,Dec 2022,1.68,1.82%
4,Jan 2023,1.68,0.00%
5,Feb 2023,1.66,-1.19%
6,Mar 2023,1.60,-3.61%
