,Month,Price,Change
0,Sep 2022,1.48,-
1,Oct 2022,1.50,1.35%
2,Nov 2022,1.43,-4.67%
3,Dec 2022,1.54,7.69%
4,Jan 2023,1.63,5.84%
5,Feb 2023,1.62,-0.61%
6,Mar 2023,1.58,-2.47%
