,Month,Price,Change
0,Sep 2022,10.75,-
1,Oct 2022,10.75,0.00%
2,Nov 2022,10.75,0.00%
3,Dec 2022,10.75,0.00%
4,Jan 2023,10.75,0.00%
5,Feb 2023,10.69,-0.56%
6,Mar 2023,10.20,-4.58%
