,Month,Price,Change
0,Sep 2022,3.88,-
1,Oct 2022,3.23,-16.92%
2,Nov 2022,2.85,-11.56%
3,Dec 2022,2.25,-21.20%
4,Jan 2023,2.57,14.32%
5,Feb 2023,2.91,13.07%
6,Mar 2023,2.76,-5.19%
