,Month,Price,Change
0,Sep 2022,2.64,-
1,Oct 2022,3.01,14.04%
2,Nov 2022,2.85,-5.34%
3,Dec 2022,2.37,-17.04%
4,Jan 2023,2.59,9.59%
5,Feb 2023,2.53,-2.35%
6,Mar 2023,2.52,-0.67%
