,Month,Price,Change
0,Sep 2022,158.17,-
1,Oct 2022,146.17,-7.59%
2,Nov 2022,139.44,-4.60%
3,Dec 2022,130.92,-6.11%
4,Jan 2023,119.29,-8.88%
5,Feb 2023,110.53,-7.35%
6,Mar 2023,103.61,-6.26%
