,Month,Price,Change
0,Sep 2022,.39,-
1,Oct 2022,.39,0.00%
2,Nov 2022,.41,5.13%
3,Dec 2022,.42,2.44%
4,Jan 2023,.42,0.00%
5,Feb 2023,.45,7.14%
6,Mar 2023,.45,0.00%
