,Month,Price,Change
0,Sep 2022,90.16,-
1,Oct 2022,93.13,3.29%
2,Nov 2022,91.07,-2.21%
3,Dec 2022,80.90,-11.17%
4,Jan 2023,83.09,2.71%
5,Feb 2023,82.71,-0.46%
6,Mar 2023,78.53,-5.05%
