,Month,Price,Change
0,Sep 2022,312.66,-
1,Oct 2022,343.56,9.88%
2,Nov 2022,320.92,-6.59%
3,Dec 2022,302.25,-5.82%
4,Jan 2023,302.78,0.18%
5,Feb 2023,298.18,-1.52%
6,Mar 2023,282.49,-5.26%
