,Month,Price,Change
0,Sep 2022,110.06,-
1,Oct 2022,102.99,-6.42%
2,Nov 2022,97.50,-5.33%
3,Dec 2022,97.41,-0.10%
4,Jan 2023,97.46,0.05%
5,Feb 2023,102.58,5.26%
6,Mar 2023,102.64,0.05%
