,Month,Price,Change
0,Sep 2022,95.95,-
1,Oct 2022,91.57,-4.56%
2,Nov 2022,86.19,-5.88%
3,Dec 2022,79.59,-7.66%
4,Jan 2023,72.72,-8.63%
