,Month,Price,Change
0,Sep 2022,"1,870.10",-
1,Oct 2022,"1,999.86",6.94%
2,Nov 2022,"2,099.99",5.01%
3,Dec 2022,"2,216.48",5.55%
4,Jan 2023,"2,201.26",-0.69%
5,Feb 2023,"2,093.06",-4.92%
6,Mar 2023,"2,115.18",1.06%
