,Month,Price,Change
0,Sep 2022,18.94,-
1,Oct 2022,19.43,2.59%
2,Nov 2022,21.02,8.18%
3,Dec 2022,23.33,10.99%
4,Jan 2023,23.65,1.37%
5,Feb 2023,21.92,-7.32%
6,Mar 2023,21.98,0.27%
