,Month,Price,Change
0,Sep 2022,2.36,-
1,Oct 2022,2.46,4.24%
2,Nov 2022,2.49,1.22%
3,Dec 2022,2.39,-4.02%
4,Jan 2023,2.33,-2.51%
5,Feb 2023,2.29,-1.72%
6,Mar 2023,2.40,4.80%
