,Month,Price,Change
0,Sep 2022,97.77,-
1,Oct 2022,96.09,-1.72%
2,Nov 2022,100.92,5.03%
3,Dec 2022,107.60,6.63%
4,Jan 2023,114.01,5.96%
5,Feb 2023,112.04,-1.73%
6,Mar 2023,108.40,-3.25%
