,Month,Price,Change
0,Sep 2022,.93,-
1,Oct 2022,1.07,15.05%
2,Nov 2022,1.09,1.87%
3,Dec 2022,1.10,0.92%
4,Jan 2023,1.09,-0.91%
5,Feb 2023,1.30,19.27%
6,Mar 2023,1.29,-0.77%
