,Month,Price,Change
0,Sep 2022,"1,680.78",-
1,Oct 2022,"1,664.45",-0.97%
2,Nov 2022,"1,725.07",3.64%
3,Dec 2022,"1,797.55",4.20%
4,Jan 2023,"1,897.71",5.57%
5,Feb 2023,"1,854.54",-2.27%
6,Mar 2023,"1,912.73",3.14%
