,Month,Price,Change
0,Sep 2022,"21,124.04",-
1,Oct 2022,"19,391.17",-8.20%
2,Nov 2022,"21,249.50",9.58%
3,Dec 2022,"24,172.37",13.76%
4,Jan 2023,"28,154.14",16.47%
5,Feb 2023,"26,862.90",-4.59%
6,Mar 2023,"23,999.96",-10.66%
