,Month,Price,Change
0,Sep 2022,"3,124.97",-
1,Oct 2022,"2,967.21",-5.05%
2,Nov 2022,"2,938.92",-0.95%
3,Dec 2022,"3,129.48",6.48%
4,Jan 2023,"3,309.81",5.76%
5,Feb 2023,"3,133.84",-5.32%
6,Mar 2023,"2,967.46",-5.31%
