,Month,Price,Change
0,Sep 2022,114.79,-
1,Oct 2022,113.47,-1.14%
2,Nov 2022,114.18,0.62%
3,Dec 2022,115.37,1.04%
4,Jan 2023,117.38,1.74%
5,Feb 2023,117.11,-0.23%
6,Mar 2023,114.55,-2.19%
