,Month,Price,Change
0,Sep 2022,23.73,-
1,Oct 2022,21.84,-7.96%
2,Nov 2022,19.59,-10.30%
3,Dec 2022,20.58,5.05%
4,Jan 2023,20.19,-1.90%
5,Feb 2023,18.42,-8.77%
6,Mar 2023,18.00,-2.28%
