,Month,Price,Change
0,Sep 2022,"2,146.13",-
1,Oct 2022,"2,146.10",0.00%
2,Nov 2022,"2,146.14",0.00%
3,Dec 2022,"2,146.10",0.00%
4,Jan 2023,"1,970.67",-8.17%
5,Feb 2023,"2,042.62",3.65%
6,Mar 2023,"2,100.41",2.83%
