,Month,Price,Change
0,Sep 2022,909.32,-
1,Oct 2022,888.99,-2.24%
2,Nov 2022,945.74,6.38%
3,Dec 2022,940.39,-0.57%
4,Jan 2023,941.97,0.17%
5,Feb 2023,949.98,0.85%
6,Mar 2023,972.06,2.32%
