,Month,Price,Change
0,Sep 2022,208.21,-
1,Oct 2022,202.13,-2.92%
2,Nov 2022,209.22,3.51%
3,Dec 2022,220.75,5.51%
4,Jan 2023,228.23,3.39%
5,Feb 2023,224.02,-1.84%
6,Mar 2023,222.60,-0.63%
