,Month,Price,Change
0,Sep 2022,381.91,-
1,Oct 2022,370.76,-2.92%
2,Nov 2022,383.76,3.51%
3,Dec 2022,404.90,5.51%
4,Jan 2023,418.62,3.39%
5,Feb 2023,410.91,-1.84%
6,Mar 2023,408.29,-0.64%
