,Month,Price,Change
0,Sep 2022,3.26,-
1,Oct 2022,3.72,13.89%
2,Nov 2022,3.16,-14.94%
3,Dec 2022,2.90,-8.32%
4,Jan 2023,3.54,22.26%
5,Feb 2023,2.79,-21.23%
6,Mar 2023,2.68,-3.98%
