,Month,Price,Change
0,Sep 2022,678.00,-
1,Oct 2022,636.25,-6.16%
2,Nov 2022,588.75,-7.47%
3,Dec 2022,519.38,-11.78%
4,Jan 2023,443.75,-14.56%
5,Feb 2023,357.50,-19.44%
6,Mar 2023,313.50,-12.31%
