,Month,Price,Change
0,Sep 2022,664.45,-
1,Oct 2022,626.00,-5.79%
2,Nov 2022,648.92,3.66%
3,Dec 2022,645.67,-0.50%
4,Jan 2023,626.59,-2.96%
5,Feb 2023,651.12,3.91%
6,Mar 2023,628.38,-3.49%
