,Month,Price,Change
0,Sep 2022,136.57,-
1,Oct 2022,137.69,0.82%
2,Nov 2022,137.51,-0.13%
3,Dec 2022,135.39,-1.54%
4,Jan 2023,136.00,0.45%
5,Feb 2023,137.47,1.08%
6,Mar 2023,134.76,-1.97%
