,Month,Price,Change
0,Sep 2022,"1,248.10",-
1,Oct 2022,"1,108.10",-11.22%
2,Nov 2022,"1,173.25",5.88%
3,Dec 2022,"1,158.41",-1.26%
4,Jan 2023,"1,078.50",-6.90%
5,Feb 2023,"1,086.67",0.76%
6,Mar 2023,"1,114.75",2.58%
