,Month,Price,Change
0,Sep 2022,2.59,-
1,Oct 2022,2.20,-15.06%
2,Nov 2022,2.23,1.36%
3,Dec 2022,2.22,-0.45%
4,Jan 2023,2.21,-0.45%
5,Feb 2023,2.19,-0.90%
6,Mar 2023,2.10,-4.11%
