,Month,Price,Change
0,Sep 2022,439.00,-
1,Oct 2022,431.00,-1.82%
2,Nov 2022,440.00,2.09%
3,Dec 2022,467.00,6.14%
4,Jan 2023,517.00,10.71%
5,Feb 2023,492.00,-4.84%
6,Mar 2023,476.00,-3.25%
