,Month,Price,Change
0,Sep 2022,99.81,-
1,Oct 2022,92.56,-7.26%
2,Nov 2022,93.34,0.84%
3,Dec 2022,111.84,19.82%
4,Jan 2023,122.23,9.29%
5,Feb 2023,127.60,4.39%
6,Mar 2023,128.37,0.60%
