,Month,Price,Change
0,Sep 2022,419.14,-
1,Oct 2022,437.95,4.49%
2,Nov 2022,422.68,-3.49%
3,Dec 2022,386.33,-8.60%
4,Jan 2023,380.36,-1.55%
5,Feb 2023,394.75,3.78%
6,Mar 2023,369.86,-6.31%
