,Month,Price,Change
0,Sep 2022,59.10,-
1,Oct 2022,39.02,-33.98%
2,Nov 2022,35.72,-8.46%
3,Dec 2022,36.04,0.90%
4,Jan 2023,20.18,-44.01%
5,Feb 2023,16.54,-18.04%
6,Mar 2023,13.81,-16.51%
