,Month,Price,Change
0,Sep 2022,.99,-
1,Oct 2022,.86,-13.32%
2,Nov 2022,.85,-0.81%
3,Dec 2022,.69,-18.78%
4,Jan 2023,.84,21.68%
5,Feb 2023,.83,-1.66%
6,Mar 2023,.79,-4.11%
