,Month,Price,Change
0,Sep 2022,"2,224.76",-
1,Oct 2022,"2,255.54",1.38%
2,Nov 2022,"2,350.72",4.22%
3,Dec 2022,"2,401.69",2.17%
4,Jan 2023,"2,501.82",4.17%
5,Feb 2023,"2,416.18",-3.42%
6,Mar 2023,"2,296.42",-4.96%
