,Month,Price,Change
0,Sep 2022,.32,-
1,Oct 2022,.32,0.00%
2,Nov 2022,.33,3.13%
3,Dec 2022,.35,6.06%
4,Jan 2023,.35,0.00%
5,Feb 2023,.35,0.00%
6,Mar 2023,.35,0.00%
