,Month,Price,Change
0,Sep 2022,3.44,-
1,Oct 2022,4.35,26.49%
2,Nov 2022,4.06,-6.49%
3,Dec 2022,3.12,-23.28%
4,Jan 2023,3.27,4.81%
5,Feb 2023,2.83,-13.31%
6,Mar 2023,2.75,-3.00%
