,Month,Price,Change
0,Sep 2022,536.55,-
1,Oct 2022,542.15,1.04%
2,Nov 2022,518.68,-4.33%
3,Dec 2022,571.15,10.12%
4,Jan 2023,605.12,5.95%
5,Feb 2023,605.27,0.02%
6,Mar 2023,580.70,-4.06%
