,Month,Price,Change
0,Sep 2022,88.22,-
1,Oct 2022,90.33,2.39%
2,Nov 2022,87.38,-3.27%
3,Dec 2022,78.07,-10.65%
4,Jan 2023,80.41,3.00%
5,Feb 2023,80.25,-0.20%
6,Mar 2023,76.47,-4.71%
