,Month,Price,Change
0,Sep 2022,73.47,-
1,Oct 2022,71.39,-2.83%
2,Nov 2022,72.32,1.31%
3,Dec 2022,75.25,4.04%
4,Jan 2023,76.26,1.35%
5,Feb 2023,74.57,-2.22%
6,Mar 2023,73.84,-0.98%
